FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202511_0065,1,65,0,65,100000,AP,11/4/2025,     11285-3-2,Cash Disbursement             ,USD,0,-169.25,AP,11/4/2025,               ,65000,     ,N302,146138238,Global Ledger Transaction Interface created
AHF,202511_0065,2,65,0,65,100000,AP,11/6/2025,     11286-12-2,Cash Disbursement             ,USD,0,-450,AP,11/6/2025,               ,65000,     ,N1202,146303775,Global Ledger Transaction Interface created
AHF,202511_0065,3,65,0,65,100000,AP,11/11/2025,     11287-27-3,Cash Disbursement             ,USD,0,-800,AP,11/11/2025,               ,65000,     ,N2703,146369230,Global Ledger Transaction Interface created
AHF,202511_0065,4,65,0,65,100000,AP,11/11/2025,     11288-27-4,Cash Disbursement             ,USD,0,-120,AP,11/11/2025,               ,65000,     ,N2704,146369231,Global Ledger Transaction Interface created
AHF,202511_0065,5,65,0,65,100000,AP,11/13/2025,AP170-41-3,Summarized transaction        ,USD,0,-12221.17,AP,11/13/2025,               ,65000,     ,N4103,146395858,Global Ledger Transaction Interface created
AHF,202511_0065,6,65,0,65,100000,AP,11/13/2025,     11290-41-4,Cash Disbursement             ,USD,0,-1607.52,AP,11/13/2025,               ,65000,     ,N4104,146395859,Global Ledger Transaction Interface created
AHF,202511_0065,7,65,0,65,100000,AP,11/14/2025,      5160-51-2,Cash Disbursement             ,USD,0,-325,AP,11/14/2025,               ,65000,     ,N5102,146586010,Global Ledger Transaction Interface created
AHF,202511_0065,8,65,0,65,100000,AP,11/18/2025,     11291-58-2,Cash Disbursement             ,USD,0,-4076.33,AP,11/18/2025,               ,65000,     ,N5802,146600325,Global Ledger Transaction Interface created
AHF,202511_0065,9,65,0,65,100000,JE,11/19/2025,-23,AultComp Admin Fee (BZ - 55)  ,USD,0,-6915.29,GL,11/30/2025,               ,65000,     ,N2102,146636083,Global Ledger Transaction Interface created
AHF,202511_0065,10,65,0,65,100000,AP,11/20/2025,     11292-71-5,Cash Disbursement             ,USD,0,-150,AP,11/20/2025,               ,65000,     ,N7105,146632941,Global Ledger Transaction Interface created
