FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount, TransactionAmount ,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202501_0095,1,95,0,95,100008,JE,2/12/2025,-330,CAEP Deposit 12.3.24          ,USD,0," 200,000.00 ",GL,1/31/2025,               ,95000,     ,N32802,141031677
AHF,202501_0095,2,95,0,95,100008,JE,1/8/2025,-18,1/6/25 Pom Loan Pymt          ,USD,0," 4,166.67 ",GL,1/31/2025,               ,95000,     ,N1701,139676243
AHF,202501_0095,3,95,0,95,103190,JE,2/3/2025,-49,ASC North                     ,USD,0," 62,300.75 ",GL,1/31/2025,               ,95000,     ,I31018,140841187
AHF,202501_0095,4,95,0,95,103360,JE,2/3/2025,-48,Dr. Prem RVVI                 ,USD,0," 12,199.00 ",GL,1/31/2025,               ,95000,     ,I31017,140841186
AHF,202501_0095,5,95,0,95,103360,JE,2/3/2025,-45,Dr. Leffler                   ,USD,0," (3,504.61)",GL,1/31/2025,               ,95000,     ,I32013,140841340
AHF,202501_0095,6,95,0,95,103360,JE,2/3/2025,-46,Dr. Tudosie                   ,USD,0," (2,735.81)",GL,1/31/2025,               ,95000,     ,I32014,140841341
AHF,202501_0095,7,95,0,95,103360,JE,2/3/2025,-48,P1-25 Canton Ophth Rent only  ,USD,0," (11,479.00)",GL,1/31/2025,               ,95000,     ,I32016,140841343
AHF,202501_0095,8,95,0,95,103360,JE,2/3/2025,-52,Premier Women's Care          ,USD,0," (1,995.83)",GL,1/31/2025,               ,95000,     ,I32020,140841347
AHF,202501_0095,9,95,0,95,103360,JE,2/3/2025,-53,Pioneer Louisville Medical Cen,USD,0," (3,157.00)",GL,1/31/2025,               ,95000,     ,I32021,140841348
AHF,202501_0095,10,95,0,95,103360,JE,2/3/2025,-56,Pulmonary Physicians Rent EFT ,USD,0," (10,617.12)",GL,1/31/2025,               ,95000,     ,I32024,140841351
AHF,202501_0095,11,95,0,95,103360,JE,2/3/2025,-58,Davita-TRC EFT                ,USD,0," (14,700.27)",GL,1/31/2025,               ,95000,     ,I32026,140841353
AHF,202501_0095,12,95,0,95,103360,JE,2/3/2025,-60,Radiology Associates of Canton,USD,0," (1,744.83)",GL,1/31/2025,               ,95000,     ,I32028,140841355
AHF,202501_0095,13,95,0,95,103360,JE,2/3/2025,-63,West Medical                  ,USD,0," (20,280.00)",GL,1/31/2025,               ,95000,     ,I32031,140841358
AHF,202501_0095,14,95,0,95,103360,JE,2/3/2025,-64,Ohio Foot and Ankle Center    ,USD,0," (2,672.57)",GL,1/31/2025,               ,95000,     ,I32032,140841359
AHF,202501_0095,15,95,0,95,103360,JE,2/3/2025,-44,Hartville Internal Medicine   ,USD,0," (1,897.00)",GL,1/31/2025,               ,95000,     ,I32012,140841339
AHF,202501_0095,16,95,0,95,103360,JE,2/3/2025,-43,Hartville Internal Medicine   ,USD,0," (1,897.00)",GL,1/31/2025,               ,95000,     ,I32011,140841338
AHF,202501_0095,17,95,0,95,103360,JE,2/3/2025,-38,Dr. Prem RVVI                 ,USD,0," (12,199.00)",GL,1/31/2025,               ,95000,     ,I3206,140841333
AHF,202501_0095,18,95,0,95,103360,JE,2/3/2025,-42,Family Physicians Inc.        ,USD,0," (13,727.00)",GL,1/31/2025,               ,95000,     ,I32010,140841337
AHF,202501_0095,19,95,0,95,103360,JE,2/3/2025,-41,Davies Drugs                  ,USD,0," (3,900.00)",GL,1/31/2025,               ,95000,     ,I3209,140841336
AHF,202501_0095,20,95,0,95,103360,JE,2/3/2025,-39,Family Practice               ,USD,0," (8,903.58)",GL,1/31/2025,               ,95000,     ,I3207,140841334
AHF,202501_0095,21,95,0,95,103360,JE,2/3/2025,-37,Hartville Family Practice     ,USD,0," (7,804.62)",GL,1/31/2025,               ,95000,     ,I3205,140841332
AHF,202501_0095,22,95,0,95,103360,JE,2/3/2025,-35,Reproductive Gyno             ,USD,0," (2,298.00)",GL,1/31/2025,               ,95000,     ,I3203,140841330
AHF,202501_0095,23,95,0,95,103360,JE,2/3/2025,-47,Davita                        ,USD,0," 14,700.27 ",GL,1/31/2025,               ,95000,     ,I31016,140841185
AHF,202501_0095,24,95,0,95,103360,JE,2/3/2025,-46,Davies Drugs                  ,USD,0," 3,900.00 ",GL,1/31/2025,               ,95000,     ,I31015,140841184
AHF,202501_0095,25,95,0,95,103360,JE,2/3/2025,-35,Reproductive Gyno             ,USD,0," 2,298.00 ",GL,1/31/2025,               ,95000,     ,I3104,140841173
AHF,202501_0095,26,95,0,95,103360,JE,2/3/2025,-34,Canton Ophthalmology          ,USD,0," 11,479.00 ",GL,1/31/2025,               ,95000,     ,I3103,140841172
AHF,202501_0095,27,95,0,95,103360,JE,2/3/2025,-34,PPSI-Perinatal & Peds         ,USD,0, (900.00),GL,1/31/2025,               ,95000,     ,I3202,140841329
AHF,202501_0095,28,95,0,95,103360,JE,2/3/2025,-45,Radiology Associates of Canton,USD,0," 1,744.83 ",GL,1/31/2025,               ,95000,     ,I31014,140841183
AHF,202501_0095,29,95,0,95,103360,JE,2/3/2025,-44,Hartville Family Practice     ,USD,0," 7,804.62 ",GL,1/31/2025,               ,95000,     ,I31013,140841182
AHF,202501_0095,30,95,0,95,103360,JE,2/3/2025,-43,Hartville Internal Medicine   ,USD,0," 1,897.00 ",GL,1/31/2025,               ,95000,     ,I31012,140841181
AHF,202501_0095,31,95,0,95,103360,JE,2/3/2025,-42,Pioneer Louisville Medical Cen,USD,0," 3,157.00 ",GL,1/31/2025,               ,95000,     ,I31011,140841180
