FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202504_0030,1,30,0,30,101010,JE,45782,-289,Brightree Journal Export ARAdj,USD,0,-50808.95,GL,04/30/2025,               ,30002,     ,N226063,142737554,Global Ledger Transaction Interface created
AHF,202504_0030,2,30,0,30,101010,JE,45782,-288,Brightree Journal Export ARAdj,USD,0,-41448.19,GL,04/30/2025,               ,30002,     ,N226062,142737553,Global Ledger Transaction Interface created
AHF,202504_0030,3,30,0,30,101010,JE,45782,-287,Brightree Journal Export ARAdj,USD,0,-539332.49,GL,04/30/2025,               ,30002,     ,N226061,142737552,Global Ledger Transaction Interface created
AHF,202504_0030,4,30,0,30,101010,JE,45782,-283,Brightree Journal Export ARPmt,USD,0,-58216.52,GL,04/30/2025,               ,30002,     ,N226057,142737548,Global Ledger Transaction Interface created
AHF,202504_0030,5,30,0,30,101010,JE,45782,-282,Brightree Journal Export ARPmt,USD,0,-103580.08,GL,04/30/2025,               ,30002,     ,N226056,142737547,Global Ledger Transaction Interface created
AHF,202504_0030,6,30,0,30,101010,JE,45782,-281,Brightree Journal Export ARPmt,USD,0,-39667.12,GL,04/30/2025,               ,30002,     ,N226055,142737546,Global Ledger Transaction Interface created
AHF,202504_0030,7,30,0,30,101010,JE,45782,-280,Brightree Journal Export ARPmt,USD,0,-38141.13,GL,04/30/2025,               ,30002,     ,N226054,142737545,Global Ledger Transaction Interface created
AHF,202504_0030,8,30,0,30,101010,JE,45782,-279,Brightree Journal Export ARPmt,USD,0,-245565.27,GL,04/30/2025,               ,30002,     ,N226053,142737544,Global Ledger Transaction Interface created
AHF,202504_0030,9,30,0,30,101010,JE,45782,-268,Brightree Journal Export ARRev,USD,0,144197.46,GL,04/30/2025,               ,30002,     ,N226042,142737533,Global Ledger Transaction Interface created
AHF,202504_0030,10,30,0,30,101010,JE,45782,-267,Brightree Journal Export ARRev,USD,0,245749.37,GL,04/30/2025,               ,30002,     ,N226041,142737532,Global Ledger Transaction Interface created
AHF,202504_0030,11,30,0,30,101010,JE,45782,-266,Brightree Journal Export ARRev,USD,0,82767.93,GL,04/30/2025,               ,30002,     ,N226040,142737531,Global Ledger Transaction Interface created
AHF,202504_0030,12,30,0,30,101010,JE,45782,-265,Brightree Journal Export ARRev,USD,0,797047.72,GL,04/30/2025,               ,30002,     ,N226039,142737530,Global Ledger Transaction Interface created
AHF,202504_0030,13,30,0,30,101010,JE,45782,-264,Brightree Journal Export ARRev,USD,0,70229.45,GL,04/30/2025,               ,30002,     ,N226038,142737529,Global Ledger Transaction Interface created
AHF,202504_0030,14,30,0,30,101010,AD,45842,   3105316-358-25,999380162DEVITT BARBARA      ,USD,0,542.3,AP,04/17/2025,               ,30002,     ,N358025,142448633,Global Ledger Transaction Interface created
AHF,202504_0030,15,30,0,30,101010,AD,45873,   3105263-354-9,999380127DEBORAH SPIES        ,USD,0,99.45,AP,04/16/2025,               ,30002,     ,N35409,142448316,Global Ledger Transaction Interface created
AHF,202504_0030,16,30,0,30,101010,AD,45873,   3105262-354-8,999380126Roth Jr Richard      ,USD,0,320.76,AP,04/16/2025,               ,30002,     ,N35408,142448315,Global Ledger Transaction Interface created
AHF,202504_0030,17,30,0,30,101010,AD,45751,   3105261-354-7,999380125GARRY STONEBROOK     ,USD,0,85,AP,04/16/2025,               ,30002,     ,N35407,142448314,Global Ledger Transaction Interface created
AHF,202504_0030,18,30,0,30,101010,AD,45751,   3102764-173-22,    25802HUMANA INSURANCE     ,USD,0,76.86,AP,45904,               ,30002,     ,N173022,142332196,Global Ledger Transaction Interface created
AHF,202504_0030,19,30,0,30,101010,JE,45782,-291,Brightree Journal Export ARAdj,USD,0,-113722.08,GL,04/30/2025,               ,30002,     ,N226065,142737556,Global Ledger Transaction Interface created
AHF,202504_0030,20,30,0,30,101010,JE,45782,-290,Brightree Journal Export ARAdj,USD,0,-151234.53,GL,04/30/2025,               ,30002,     ,N226064,142737555,Global Ledger Transaction Interface created
AHF,202504_0030,21,30,0,30,101010,AD,04/24/2025,   3108856-571-37,999380467DAREL STARNER        ,USD,0,177.65,AP,04/28/2025,               ,30002,     ,N571037,142544222,Global Ledger Transaction Interface created
AHF,202504_0030,22,30,0,30,101010,AD,04/22/2025,   3108688-571-36,    10581AULTMAN              ,USD,0,1547.56,AP,04/28/2025,               ,30002,     ,N571036,142544221,Global Ledger Transaction Interface created
AHF,202504_0030,23,30,0,30,101010,AD,04/22/2025,   3108687-571-35,    10579AULTCARE             ,USD,0,1472.2,AP,04/28/2025,               ,30002,     ,N571035,142544220,Global Ledger Transaction Interface created
AHF,202504_0030,24,30,0,30,101010,AD,04/17/2025,   3108843-571-34,999380459BERNICE A MAY        ,USD,0,58.58,AP,04/28/2025,               ,30002,     ,N571034,142544219,Global Ledger Transaction Interface created
AHF,202504_0030,25,30,0,30,101010,AD,04/15/2025,   3106612-425-35,999380283Michael Mayle        ,USD,0,173.99,AP,04/21/2025,               ,30002,     ,N425035,142467789,Global Ledger Transaction Interface created
AHF,202504_0030,26,30,0,30,101010,AD,03/21/2025,   3101487-105-5,999379458JILL CANTERBURY      ,USD,0,89.98,AP,45751,               ,30002,     ,N10505,142188993,Global Ledger Transaction Interface created
AHF,202504_0030,27,30,0,30,101010,AD,03/27/2025,   3101484-96-77,999379457VELMA RITER          ,USD,0,300,AP,45751,               ,30002,     ,N96077,142187224,Global Ledger Transaction Interface created
AHF,202504_0030,28,30,0,30,101010,AD,03/21/2025,   3101483-96-76,999379456JANE OAKES           ,USD,0,300,AP,45751,               ,30002,     ,N96076,142187223,Global Ledger Transaction Interface created
AHF,202504_0030,29,30,0,30,101010,AD,03/21/2025,   3101470-96-75,999379450LINDA WORTHINGTON    ,USD,0,278.37,AP,45751,               ,30002,     ,N96075,142187222,Global Ledger Transaction Interface created
AHF,202504_0030,30,30,0,30,101010,AD,03/21/2025,   3101469-96-74,999379449TIMOTHY LONES        ,USD,0,300,AP,45751,               ,30002,     ,N96074,142187221,Global Ledger Transaction Interface created
AHF,202504_0030,31,30,0,30,101010,AD,03/18/2025,   3101468-96-73,999379448EDWARD SEBEK JR.     ,USD,0,48.87,AP,45751,               ,30002,     ,N96073,142187220,Global Ledger Transaction Interface created
AHF,202504_0030,32,30,0,30,102230,JE,45843,-298,PAC Allowances 04             ,USD,0,31256.98,GL,04/30/2025,               ,30002,     ,N287011,142816213,Global Ledger Transaction Interface created
AHF,202504_0030,33,30,0,30,105110,ZB,04/25/2025,GL190-52-200,Auto Offset From Zone 10      ,USD,0,-12,AP,04/25/2025,               ,30002,     ,I520200,142508908,Global Ledger Transaction Interface created
AHF,202504_0030,34,30,0,30,105110,ZB,04/25/2025,GL190-9-9476,Auto Offset From Zone 10      ,USD,0,-41579.7,PR,04/25/2025,               ,30002,     ,I909476,142509664,Global Ledger Transaction Interface created
AHF,202504_0030,35,30,0,30,105110,ZB,45661,GL190-2-2102,Auto Offset From Zone 10      ,USD,0,-100.77,IC,45661,               ,30002,     ,I202102,142654214,Global Ledger Transaction Interface created
AHF,202504_0030,36,30,0,30,105110,ZB,04/22/2025,GL190-8-162,Auto Offset From Zone 10      ,USD,0,82.98,GL,04/25/2025,               ,30002,     ,I80162,142506574,Global Ledger Transaction Interface created
AHF,202504_0030,37,30,0,30,105110,ZB,04/30/2025,GL190-5-1656,Auto Offset From Zone 10      ,USD,0,99.74,PR,04/30/2025,               ,30002,     ,I501656,142487077,Global Ledger Transaction Interface created
