FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202501_0093,1,93,0,93,103201,JE,02/03/2025,-32-17,P1-25 Canton Ophth Loan       ,USD,0.00,-1331.70,GL,01/31/2025,               ,93000          ,     ,I32017,140841344
AHF,202501_0093,2,93,0,93,105110,ZB,01/01/2025,GL190-1-121,Auto Offset From Zone 10      ,USD,0.00,-20766.49,AP,01/01/2025,               ,93000          ,     ,I10121,139899469
AHF,202501_0093,3,93,0,93,105110,ZB,12/31/2024,GL190-1-2685,Auto Offset From Zone 10      ,USD,0.00,71770.83,PO,01/01/2025,               ,93000          ,     ,R102685,140569014
AHF,202501_0093,4,93,0,93,105110,ZB,12/31/2024,GL190-19-267,Auto Offset From Zone 10      ,USD,0.00,-177.12,AP,01/08/2025,               ,93000          ,     ,I190267,139935369
AHF,202501_0093,5,93,0,93,105110,ZB,12/31/2024,GL190-22-246,Auto Offset From Zone 10      ,USD,0.00,-1834.07,AP,01/09/2025,               ,93000          ,     ,I220246,139940756
AHF,202501_0093,6,93,0,93,105110,ZB,12/31/2024,GL190-34-363,Auto Offset From Zone 10      ,USD,0.00,-315.19,AP,01/15/2025,               ,93000          ,     ,I340363,139978457
AHF,202501_0093,7,93,0,93,105110,ZB,01/24/2025,GL190-58-316,Auto Offset From Zone 10      ,USD,0.00,-1279.00,AP,01/24/2025,               ,93000          ,     ,I580316,140043075
AHF,202501_0093,8,93,0,93,105110,ZB,02/07/2024,GL190-506-290,Auto Offset From Zone 10      ,USD,0.00,-573.39,AP,01/28/2025,               ,93000          ,     ,N5060290,140437975
AHF,202501_0093,9,93,0,93,105110,ZB,11/03/2021,GL190-593-290,Auto Offset From Zone 10      ,USD,0.00,-1806.00,AP,01/31/2025,               ,93000          ,     ,N5930290,140643403
AHF,202501_0093,10,93,0,93,105110,ZB,01/31/2025,GL190-1-2614,Auto Offset From Zone 10      ,USD,0.00,-82150.33,PO,01/31/2025,               ,93000          ,     ,I102614,140764090
AHF,202501_0093,11,93,0,93,105110,ZB,02/04/2025,GL190-35-122,Auto Offset From Zone 10      ,USD,0.00,97108.36,GL,01/31/2025,               ,93000          ,     ,I350122,140846498
AHF,202501_0093,12,93,0,93,105110,ZB,02/04/2025,GL190-47-90,Auto Offset From Zone 10      ,USD,0.00,-21.98,GL,01/31/2025,               ,93000          ,     ,I47090,140855335
AHF,202501_0093,13,93,0,93,105110,ZB,02/07/2025,GL190-94-20,Auto Offset From Zone 10      ,USD,0.00,-2970.51,GL,01/31/2025,               ,93000          ,     ,I94020,140907053
AHF,202501_0093,14,93,0,93,105110,ZB,02/14/2025,GL190-157-13,Auto Offset From Zone 10      ,USD,0.00,1175.82,GL,01/31/2025,               ,93000          ,     ,I157013,141066274
AHF,202501_0093,15,93,0,93,105110,ZB,02/17/2025,GL190-368-6,Auto Offset From Zone 10      ,USD,0.00,-370.23,GL,01/31/2025,               ,93000          ,     ,N36806,141092431
AHF,202501_0093,16,93,0,93,105110,ZB,02/13/2025,GL190-342-4,Auto Offset From Zone 10      ,USD,0.00,-1043.17,GL,01/31/2025,               ,93000          ,     ,N34204,141039388
AHF,202501_0093,17,93,0,93,105110,ZB,02/09/2025,GL190-106-53,Auto Offset From Zone 10      ,USD,0.00,-35203.07,GL,01/31/2025,               ,93000          ,     ,I106053,140914562
AHF,202501_0093,18,93,0,93,105110,ZB,02/06/2025,GL190-85-15,Auto Offset From Zone 10      ,USD,0.00,31150.00,GL,01/31/2025,               ,93000          ,     ,I85015,140896589
AHF,202501_0093,19,93,0,93,105110,ZB,02/06/2025,GL190-81-232,Auto Offset From Zone 10      ,USD,0.00,10462.64,GL,01/31/2025,               ,93000          ,     ,I810232,140896555
AHF,202501_0093,20,93,0,93,105110,ZB,02/03/2025,GL190-32-37,Auto Offset From Zone 10      ,USD,0.00,1375.79,GL,01/31/2025,               ,93000          ,     ,I32037,140844131
