FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202505_0040,1,40,0,40,100008,AP,05/01/2025,AP170-2-1,Summarized transaction        ,USD,0.00,-71.51,AP,05/01/2025,               ,40010          ,     ,N201,142556057
AHF,202505_0040,2,40,0,40,100008,JE,06/06/2025,-33-4,Transfer from OPPC to MSO     ,USD,0.00,-25000.00,GL,05/31/2025,               ,40010          ,     ,N3304,143308630
AHF,202505_0040,3,40,0,40,100008,JE,06/06/2025,-33-2,Transfer from OPPC to MSO     ,USD,0.00,-25000.00,GL,05/31/2025,               ,40010          ,     ,N3302,143308628
AHF,202505_0040,4,40,0,40,100008,JE,06/02/2025,-100031-8,Neurohospitalists Payments    ,USD,0.00,47402.62,GL,05/31/2025,               ,40010          ,     ,I10003108,143178050
AHF,202505_0040,5,40,0,40,100008,JE,06/02/2025,-100031-7,MTS Payments                  ,USD,0.00,40055.17,GL,05/31/2025,               ,40010          ,     ,I10003107,143178049
AHF,202505_0040,6,40,0,40,100008,JE,06/02/2025,-100031-6,IPS Payments                  ,USD,0.00,229.92,GL,05/31/2025,               ,40010          ,     ,I10003106,143178048
AHF,202505_0040,7,40,0,40,100008,JE,06/02/2025,-100031-5,Infectious Disease Payments   ,USD,0.00,38081.56,GL,05/31/2025,               ,40010          ,     ,I10003105,143178047
AHF,202505_0040,8,40,0,40,100008,JE,06/02/2025,-100031-4,Hospitalists Payments         ,USD,0.00,518307.19,GL,05/31/2025,               ,40010          ,     ,I10003104,143178046
AHF,202505_0040,9,40,0,40,100008,JE,06/02/2025,-100031-3,Gastro Payments               ,USD,0.00,381.10,GL,05/31/2025,               ,40010          ,     ,I10003103,143178045
AHF,202505_0040,10,40,0,40,100008,JE,06/02/2025,-100031-2,Family Practice Teaching Servi,USD,0.00,10586.58,GL,05/31/2025,               ,40010          ,     ,I10003102,143178044
AHF,202505_0040,11,40,0,40,100008,JE,06/02/2025,-100031-1,DMT Payments                  ,USD,0.00,5.00,GL,05/31/2025,               ,40010          ,     ,I10003101,143178043
AHF,202505_0040,12,40,0,40,100008,AP,05/16/2025,     16295-33-1,Cash Disbursement             ,USD,0.00,-300.00,AP,05/16/2025,               ,40010          ,     ,N3301,142979214
AHF,202505_0040,13,40,0,40,100008,VP,05/15/2025,     14925-31-1,Void Payment                  ,USD,0.00,70.00,AP,05/15/2025,               ,40010          ,     ,N3101,142971204
AHF,202505_0040,14,40,0,40,100008,AP,05/02/2025,     16233-5-2,Cash Disbursement             ,USD,0.00,-875.00,AP,05/02/2025,               ,40010          ,     ,N502,142703277
AHF,202505_0040,15,40,0,40,100008,AP,05/02/2025,     16232-5-1,Cash Disbursement             ,USD,0.00,-35.00,AP,05/02/2025,               ,40010          ,     ,N501,142703276
AHF,202505_0040,16,40,0,40,100008,AP,05/01/2025,     11662-2-2,Cash Disbursement             ,USD,0.00,-8600.00,AP,05/01/2025,               ,40010          ,     ,N202,142556058
AHF,202505_0040,17,40,0,40,100008,JE,06/11/2025,-700018-5,5/27/2025 MR                  ,USD,0.00,20.00,GL,05/31/2025,               ,40010          ,     ,I70001805,143426263
AHF,202505_0040,18,40,0,40,100008,JE,06/11/2025,-700018-4,5/19/2025 MR                  ,USD,0.00,60.00,GL,05/31/2025,               ,40010          ,     ,I70001804,143426262
AHF,202505_0040,19,40,0,40,100008,JE,06/11/2025,-700018-3,5/14/2025 MR                  ,USD,0.00,115.43,GL,05/31/2025,               ,40010          ,     ,I70001803,143426261
AHF,202505_0040,20,40,0,40,100008,JE,06/10/2025,-100146-1,Reclass Cash Balances         ,USD,0.00,-0.20,GL,05/31/2025,               ,40010          ,     ,I10014601,143410197
AHF,202505_0040,21,40,0,40,100008,JE,06/10/2025,-100143-14,OPPC - Hospitalist Program    ,USD,0.00,481.87,GL,05/31/2025,               ,40010          ,     ,I100143014,143409632
AHF,202505_0040,22,40,0,40,100008,JE,06/10/2025,-100143-13,Med Educatio OB/Gyn           ,USD,0.00,1600.76,GL,05/31/2025,               ,40010          ,     ,I100143013,143409631
AHF,202505_0040,23,40,0,40,100008,JE,06/10/2025,-100143-12,Family Med of Carrollton      ,USD,0.00,8.20,GL,05/31/2025,               ,40010          ,     ,I100143012,143409630
AHF,202505_0040,24,40,0,40,100008,JE,06/10/2025,-100143-11,AMG - NEO Endocrinology       ,USD,0.00,346691.91,GL,05/31/2025,               ,40010          ,     ,I100143011,143409629
AHF,202505_0040,25,40,0,40,100008,JE,06/10/2025,-100143-10,Aultman House Call            ,USD,0.00,5200.63,GL,05/31/2025,               ,40010          ,     ,I100143010,143409628
AHF,202505_0040,26,40,0,40,100008,JE,06/10/2025,-100143-9,Hospice/Pall Services Alliance,USD,0.00,1387.35,GL,05/31/2025,               ,40010          ,     ,I10014309,143409627
AHF,202505_0040,27,40,0,40,100008,JE,06/10/2025,-100143-8,Hospice/Pall Consult Services ,USD,0.00,12836.06,GL,05/31/2025,               ,40010          ,     ,I10014308,143409626
AHF,202505_0040,28,40,0,40,100008,JE,06/10/2025,-100143-7,Breast Surgery Specialists    ,USD,0.00,36616.97,GL,05/31/2025,               ,40010          ,     ,I10014307,143409625
AHF,202505_0040,29,40,0,40,100008,JE,06/10/2025,-100143-6,AMG - Endocrinolgy            ,USD,0.00,22087.16,GL,05/31/2025,               ,40010          ,     ,I10014306,143409624
AHF,202505_0040,30,40,0,40,100008,JE,06/10/2025,-100143-5,OPPC - AACH Hospitalists      ,USD,0.00,71103.06,GL,05/31/2025,               ,40010          ,     ,I10014305,143409623
AHF,202505_0040,31,40,0,40,100008,JE,06/10/2025,-100143-4,AMG - Behavioral Health       ,USD,0.00,157660.23,GL,05/31/2025,               ,40010          ,     ,I10014304,143409622
AHF,202505_0040,32,40,0,40,100008,JE,06/10/2025,-100143-3,AMG - Plastic Surgery         ,USD,0.00,62338.32,GL,05/31/2025,               ,40010          ,     ,I10014303,143409621
AHF,202505_0040,33,40,0,40,100008,JE,06/10/2025,-100143-2,AMG Gynecologic Oncology      ,USD,0.00,78981.91,GL,05/31/2025,               ,40010          ,     ,I10014302,143409620
AHF,202505_0040,34,40,0,40,100008,JE,06/10/2025,-100143-1,Recl AMG Checks to OPPC       ,USD,0.00,-910919.39,GL,05/31/2025,               ,40010          ,     ,I10014301,143409619
