FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202512_0040,1,40,0,40,100008,AP,12/10/2025,     17193-13-46,Cash Disbursement             ,USD,0.00,-10.00,AP,12/10/2025,               ,40010          ,     ,N13046,146968105
AHF,202512_0040,2,40,0,40,100008,AP,12/10/2025,     17192-13-45,Cash Disbursement             ,USD,0.00,-35.00,AP,12/10/2025,               ,40010          ,     ,N13045,146968104
AHF,202512_0040,3,40,0,40,100008,AP,12/10/2025,     17191-13-44,Cash Disbursement             ,USD,0.00,-200.00,AP,12/10/2025,               ,40010          ,     ,N13044,146968103
AHF,202512_0040,4,40,0,40,100008,AP,12/10/2025,     17190-13-43,Cash Disbursement             ,USD,0.00,-30.00,AP,12/10/2025,               ,40010          ,     ,N13043,146968102
AHF,202512_0040,5,40,0,40,100008,AP,12/10/2025,     17189-13-42,Cash Disbursement             ,USD,0.00,-54.64,AP,12/10/2025,               ,40010          ,     ,N13042,146968101
AHF,202512_0040,6,40,0,40,100008,AP,12/10/2025,     17188-13-41,Cash Disbursement             ,USD,0.00,-25.00,AP,12/10/2025,               ,40010          ,     ,N13041,146968100
AHF,202512_0040,7,40,0,40,100008,AP,12/10/2025,     17187-13-40,Cash Disbursement             ,USD,0.00,-49.47,AP,12/10/2025,               ,40010          ,     ,N13040,146968099
AHF,202512_0040,8,40,0,40,100008,AP,12/10/2025,     17186-13-39,Cash Disbursement             ,USD,0.00,-19.14,AP,12/10/2025,               ,40010          ,     ,N13039,146968098
AHF,202512_0040,9,40,0,40,100008,AP,12/10/2025,     17185-13-38,Cash Disbursement             ,USD,0.00,-12.36,AP,12/10/2025,               ,40010          ,     ,N13038,146968097
AHF,202512_0040,10,40,0,40,100008,AP,12/10/2025,     17184-13-37,Cash Disbursement             ,USD,0.00,-55.00,AP,12/10/2025,               ,40010          ,     ,N13037,146968096
AHF,202512_0040,11,40,0,40,100008,AP,12/10/2025,     17183-13-36,Cash Disbursement             ,USD,0.00,-41.96,AP,12/10/2025,               ,40010          ,     ,N13036,146968095
AHF,202512_0040,12,40,0,40,100008,AP,12/10/2025,     17182-13-35,Cash Disbursement             ,USD,0.00,-100.00,AP,12/10/2025,               ,40010          ,     ,N13035,146968094
AHF,202512_0040,13,40,0,40,100008,AP,12/10/2025,     17181-13-34,Cash Disbursement             ,USD,0.00,-10.00,AP,12/10/2025,               ,40010          ,     ,N13034,146968093
AHF,202512_0040,14,40,0,40,100008,AP,12/10/2025,     17180-13-33,Cash Disbursement             ,USD,0.00,-15.97,AP,12/10/2025,               ,40010          ,     ,N13033,146968092
AHF,202512_0040,15,40,0,40,100008,AP,12/10/2025,     17179-13-32,Cash Disbursement             ,USD,0.00,-142.96,AP,12/10/2025,               ,40010          ,     ,N13032,146968091
AHF,202512_0040,16,40,0,40,100008,AP,12/10/2025,     17178-13-31,Cash Disbursement             ,USD,0.00,-275.00,AP,12/10/2025,               ,40010          ,     ,N13031,146968090
AHF,202512_0040,17,40,0,40,100008,AP,12/10/2025,     17177-13-30,Cash Disbursement             ,USD,0.00,-360.50,AP,12/10/2025,               ,40010          ,     ,N13030,146968089
AHF,202512_0040,18,40,0,40,100008,AP,12/10/2025,     17176-13-29,Cash Disbursement             ,USD,0.00,-20.02,AP,12/10/2025,               ,40010          ,     ,N13029,146968088
AHF,202512_0040,19,40,0,40,100008,AP,12/10/2025,     17175-13-28,Cash Disbursement             ,USD,0.00,-12.69,AP,12/10/2025,               ,40010          ,     ,N13028,146968087
AHF,202512_0040,20,40,0,40,100008,AP,12/10/2025,     17174-13-27,Cash Disbursement             ,USD,0.00,-10.00,AP,12/10/2025,               ,40010          ,     ,N13027,146968086
AHF,202512_0040,21,40,0,40,100008,AP,12/10/2025,     17173-13-26,Cash Disbursement             ,USD,0.00,-45.00,AP,12/10/2025,               ,40010          ,     ,N13026,146968085
AHF,202512_0040,22,40,0,40,100008,AP,12/10/2025,     17172-13-25,Cash Disbursement             ,USD,0.00,-196.87,AP,12/10/2025,               ,40010          ,     ,N13025,146968084
AHF,202512_0040,23,40,0,40,100008,AP,12/10/2025,     17171-13-24,Cash Disbursement             ,USD,0.00,-40.00,AP,12/10/2025,               ,40010          ,     ,N13024,146968083
AHF,202512_0040,24,40,0,40,100008,AP,12/10/2025,     17170-13-23,Cash Disbursement             ,USD,0.00,-70.61,AP,12/10/2025,               ,40010          ,     ,N13023,146968082
AHF,202512_0040,25,40,0,40,100008,AP,12/10/2025,     17169-13-22,Cash Disbursement             ,USD,0.00,-390.00,AP,12/10/2025,               ,40010          ,     ,N13022,146968081
AHF,202512_0040,26,40,0,40,100008,AP,12/10/2025,     17168-13-21,Cash Disbursement             ,USD,0.00,-25.00,AP,12/10/2025,               ,40010          ,     ,N13021,146968080
AHF,202512_0040,27,40,0,40,100008,AP,12/10/2025,     17167-13-20,Cash Disbursement             ,USD,0.00,-81.00,AP,12/10/2025,               ,40010          ,     ,N13020,146968079
AHF,202512_0040,28,40,0,40,100008,AP,12/10/2025,     17166-13-19,Cash Disbursement             ,USD,0.00,-11.18,AP,12/10/2025,               ,40010          ,     ,N13019,146968078
AHF,202512_0040,29,40,0,40,100008,AP,12/10/2025,     17165-13-18,Cash Disbursement             ,USD,0.00,-30.00,AP,12/10/2025,               ,40010          ,     ,N13018,146968077
AHF,202512_0040,30,40,0,40,100008,AP,12/10/2025,     17164-13-17,Cash Disbursement             ,USD,0.00,-25.00,AP,12/10/2025,               ,40010          ,     ,N13017,146968076
