business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
ADBAccountMaster,The ADBAccountMaster Raw Data Web Service contains operations that expose ADBAccountMaster-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
ADBAggregateBalance,The ADBAggregateBalance Raw Data Web Service contains operations that expose ADBAggregateBalance-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
ADBDailyAmount,The ADBDailyAmount Raw Data Web Service contains operations that expose ADBDailyAmount-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
ADBTransaction,The ADBTransaction Raw Data Web Service contains operations that expose ADBTransaction-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM115Am115sort,The AM115Am115sort Raw Data Web Service contains operations that expose AM115Am115sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM117Am117sort,The AM117Am117sort Raw Data Web Service contains operations that expose AM117Am117sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM118Am118sort,The AM118Am118sort Raw Data Web Service contains operations that expose AM118Am118sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM120Sort,The AM120Sort Raw Data Web Service contains operations that expose AM120Sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM125Am125work,The AM125Am125work Raw Data Web Service contains operations that expose AM125Am125work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM135Work,The AM135Work Raw Data Web Service contains operations that expose AM135Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM135Work2,The AM135Work2 Raw Data Web Service contains operations that expose AM135Work2-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM145Work,The AM145Work Raw Data Web Service contains operations that expose AM145Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM152Error,The AM152Error Raw Data Web Service contains operations that expose AM152Error-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM152Work,The AM152Work Raw Data Web Service contains operations that expose AM152Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM153LabelsCsv,The AM153LabelsCsv Raw Data Web Service contains operations that expose AM153LabelsCsv-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
