load_family_root,single_or_multiple,member_count,family_root_base_count,family_root_bases_csv,family_root_bases_present_in_fsm_csv,variant_base_count,variant_bases_csv,related_member_count,related_members_csv,members_csv
AssetBarCodeFile,single,1,1,AssetBarCodeFileInterface,AssetBarCodeFileInterface,1,AssetBarCodeFileInterface,0,,AssetBarCodeFileInterface
AssetItemAdjustment,single,1,1,AssetItemAdjustmentImport,AssetItemAdjustmentImport,1,AssetItemAdjustmentImport,0,,AssetItemAdjustmentImport
AssetItemUpdateAdjustment,single,1,1,AssetItemUpdateAdjustmentInterface,AssetItemUpdateAdjustmentInterface,1,AssetItemUpdateAdjustmentInterface,0,,AssetItemUpdateAdjustmentInterface
AssetRepair,single,1,1,AssetRepairImport,AssetRepairImport,1,AssetRepairImport,0,,AssetRepairImport
AssetTransaction,single,1,1,AssetTransactionImport,AssetTransactionImport,1,AssetTransactionImport,0,,AssetTransactionImport
BillOfExchange,single,1,1,BillOfExchangeInterface,BillOfExchangeInterface,1,BillOfExchangeInterface,0,,BillOfExchangeInterface
BillTo,single,1,1,BillToImport,BillToImport,1,BillToImport,0,,BillToImport
CalculateTax,single,1,1,CalculateTaxInterface,CalculateTaxInterface,1,CalculateTaxInterface,0,,CalculateTaxInterface
CashCodeAttribute,single,1,1,CashCodeAttributeInterface,,1,CashCodeAttributeInterface,1,CashCodeAttributeInterfaceList,CashCodeAttributeInterfaceList
CashLedgerPayment,single,1,1,CashLedgerPaymentImport,CashLedgerPaymentImport,1,CashLedgerPaymentImport,0,,CashLedgerPaymentImport
CashLedgerReceipt,single,1,1,CashLedgerReceiptImport,CashLedgerReceiptImport,1,CashLedgerReceiptImport,0,,CashLedgerReceiptImport
CashLedgerReturnedPayment,single,1,1,CashLedgerReturnedPaymentImport,CashLedgerReturnedPaymentImport,1,CashLedgerReturnedPaymentImport,0,,CashLedgerReturnedPaymentImport
CashLedgerTransaction,single,1,1,CashLedgerTransactionImport,CashLedgerTransactionImport,1,CashLedgerTransactionImport,0,,CashLedgerTransactionImport
CashTransaction,single,1,1,CashTransactionImport,,1,CashTransactionImport,1,CashTransactionImportResult,CashTransactionImportResult
CompanyCashCodeAtribute,single,1,1,CompanyCashCodeAtributeImport,CompanyCashCodeAtributeImport,1,CompanyCashCodeAtributeImport,0,,CompanyCashCodeAtributeImport
CompanyCustomerOrderEntry,single,1,1,CompanyCustomerOrderEntryImport,CompanyCustomerOrderEntryImport,1,CompanyCustomerOrderEntryImport,0,,CompanyCustomerOrderEntryImport
ContractGPOGHX,single,1,1,ContractGPOGHXInterface,ContractGPOGHXInterface,1,ContractGPOGHXInterface,0,,ContractGPOGHXInterface
CreditCard,single,1,1,CreditCardInterface,CreditCardInterface,1,CreditCardInterface,0,,CreditCardInterface
